Address,City,SquareFootage,Acreage,AskingPrice,SalePrice,SaleDate,Agent
11375 Maple Lane,Jeffersontown,"1,246",0.6,"$221,666.82 ","$219,782.65 ",6/4/2020,Tristan Blevins
41837 Olive Street,Frankfort,"1,736",0.5,"$230,875.26 ","$228,705.03 ",1/6/2020,Trevon Lutz
96378 Jackson Street,Florence,"2,264",0.4,"$349,952.04 ","$290,320.21 ",2/23/2020,Priscilla Jackson
80535 5th Street South,St. Matthews,"1,663",0.7,"$238,038.37 ","$221,732.74 ",12/19/2020,Deven Payne
74082 Chapel Street,Jeffersontown,"2,758",0.2,"$304,143.88 ","$270,779.29 ",10/16/2020,Deven Payne
59765 Spring Street,Nicholasville,"8,957",0.5,"$1,167,454.23 ","$966,885.59 ",9/13/2020,Kaitlynn Oconnor
48520 Tanglewood Drive,Richmond,"1,234",16.9,"$1,396,759.97 ","$1,152,466.65 ",5/29/2020,Kaitlynn Oconnor
96397 Jackson Avenue,Florence,"6,803",0.6,"$956,023.72 ","$866,061.88 ",7/16/2020,Deven Payne
26460 Ivy Lane,Lexington,"2,164",0.2,"$310,579.23 ","$272,471.16 ",8/24/2020,Kaitlynn Oconnor
47713 River Street,Richmond,"7,961",0.2,"$1,182,173.56 ","$1,012,295.22 ",1/27/2020,Hazel Richardson
81793 Willow Avenue,Jeffersontown,"2,146",0.5,"$299,388.67 ","$258,402.36 ",7/27/2020,Trevon Lutz
18453 Colonial Avenue,Covington,"2,509",0.6,"$385,719.02 ","$314,283.86 ",9/4/2020,Evelyn Everett
30057 Bank Street,St. Matthews,"2,721",1,"$386,925.51 ","$346,259.64 ",8/4/2020,Kaitlynn Oconnor
55528 Evergreen Drive,Louisville,"2,374",0.5,"$378,778.45 ","$311,621.03 ",11/24/2020,Trevon Lutz
99817 Cobblestone Court,Jeffersontown,"1,196",0.5,"$183,226.68 ","$154,716.61 ",6/17/2020,Deven Payne
40510 Fairway Drive,Florence,"2,709",0.7,"$436,800.61 ","$415,528.42 ",2/15/2020,Trevon Lutz
76096 Winding Way,Frankfort,"1,699",0.2,"$261,720.40 ","$220,499.43 ",7/21/2020,Trevon Lutz
84349 Amherst Street,Louisville,"1,881",0.7,"$315,824.45 ","$266,240.01 ",3/2/2020,Trevon Lutz
79903 Lantern Lane,Frankfort,"9,450",0.5,"$1,085,739.42 ","$991,497.24 ",4/5/2020,Deven Payne
72502 Summit Avenue,Georgetown,"1,596",0.8,"$277,448.91 ","$254,892.31 ",11/2/2020,Deven Payne
37563 Harrison Street,Louisville,"2,240",0.4,"$353,427.73 ","$337,488.14 ",6/25/2020,Trevon Lutz
86554 Route 20,St. Matthews,"1,490",0.9,"$212,858.37 ","$181,248.90 ",8/27/2020,Tristan Blevins
58479 Pennsylvania Avenue,Louisville,"1,574",0.5,"$215,919.60 ","$199,984.73 ",3/15/2020,Hazel Richardson
84545 Monroe Drive,Lexington,"1,412",0.2,"$174,295.28 ","$146,408.03 ",12/29/2020,Hazel Richardson
46188 Virginia Street,Jeffersontown,"1,319",0.6,"$183,615.38 ","$170,450.15 ",6/12/2020,Trevon Lutz
11238 Hickory Lane,Lexington,"7,238",0.9,"$787,635.63 ","$639,638.90 ",3/31/2020,Timothy Case
68798 Williams Street,Lexington,"1,559",0.1,"$166,559.19 ","$141,042.32 ",9/11/2020,Priscilla Jackson
95621 Academy Street,Louisville,"2,859",0.8,"$470,944.88 ","$468,778.53 ",5/26/2020,Trevon Lutz
98970 Fawn Court,Louisville,"2,925",0.5,"$383,238.08 ","$355,338.34 ",12/28/2020,Payton Evans
32686 4th Street West,Lexington,"1,335",0.2,"$208,911.60 ","$195,353.24 ",1/9/2020,Deven Payne
60495 Grand Avenue,Covington,"1,600",0.1,"$194,438.46 ","$163,522.74 ",6/10/2020,Deven Payne
93538 Cambridge Court,Frankfort,"2,166",1,"$294,043.82 ","$257,082.51 ",2/20/2020,Tristan Blevins
68514 Bay Street,Georgetown,"1,490",0.2,"$227,709.95 ","$227,345.61 ",10/13/2020,Priscilla Jackson
27567 Heather Lane,Covington,"1,974",0.7,"$256,888.16 ","$240,884.03 ",5/2/2020,Trevon Lutz
39464 Lexington Drive,Louisville,"2,680",0.3,"$421,413.66 ","$376,322.40 ",9/22/2020,Judith Moreno
99105 Route 27,Frankfort,"2,007",0.8,"$330,435.46 ","$296,400.61 ",2/10/2020,Deven Payne
86191 Cleveland Street,Richmond,"1,896",0.5,"$236,275.25 ","$189,847.16 ",3/18/2020,Trevon Lutz
30730 William Street,Nicholasville,"2,848",0.1,"$346,881.77 ","$300,330.23 ",2/26/2020,Tristan Blevins
72914 Briarwood Court,St. Matthews,"1,908",0.2,"$252,421.73 ","$216,779.78 ",9/18/2020,Timothy Case
93618 Clay Street,Florence,"2,861",0.5,"$464,162.83 ","$374,904.32 ",4/25/2020,Hazel Richardson
14323 Pheasant Run,Florence,"2,476",16.8,"$1,535,212.56 ","$1,293,416.58 ",10/9/2020,Tristan Blevins
86036 Ann Street,Richmond,"2,445",0.7,"$396,833.87 ","$388,778.15 ",11/2/2020,Evelyn Everett
42342 6th Street North,Lexington,"1,085",24.8,"$1,875,249.64 ","$1,771,173.29 ",3/12/2020,Timothy Case
37409 Hanover Court,Louisville,"1,941",0.8,"$250,041.62 ","$245,490.86 ",2/3/2020,Eliana Baker
74042 9th Street,Louisville,"2,094",0.9,"$299,612.83 ","$276,872.22 ",10/11/2020,Ivan Cordova
85412 Grove Street,St. Matthews,"1,089",0.5,"$154,678.44 ","$142,984.75 ",4/4/2020,Deven Payne
89902 8th Street West,Covington,"7,935",0.6,"$1,085,728.58 ","$935,029.45 ",12/21/2020,Judith Moreno
69548 Franklin Avenue,Lexington,"1,480",0.7,"$249,956.80 ","$221,511.72 ",2/11/2020,Priscilla Jackson
44691 Mill Road,Nicholasville,"2,789",0.5,"$412,311.85 ","$371,369.28 ",11/11/2020,Trevon Lutz
36496 Walnut Street,Lexington,"9,984",0.3,"$1,321,273.80 ","$1,213,457.86 ",7/26/2020,Deven Payne
95212 Roosevelt Avenue,Erlanger,"2,550",0.7,"$417,329.38 ","$360,739.52 ",9/25/2020,Tristan Blevins
64916 Route 7,Georgetown,"1,188",0.5,"$173,610.60 ","$162,673.13 ",8/8/2020,Judith Moreno
67018 Woodland Drive,Jeffersontown,"2,904",0.6,"$383,684.19 ","$374,514.13 ",2/27/2020,Deven Payne
87778 Center Street,Georgetown,"9,013",0.3,"$1,235,576.06 ","$1,082,488.18 ",5/17/2020,Priscilla Jackson
18935 10th Street,Frankfort,"2,132",0.1,"$237,683.81 ","$193,569.69 ",5/20/2020,Tristan Blevins
94579 Brown Street,Louisville,"2,959",0.1,"$446,237.46 ","$430,262.16 ",6/4/2020,Deven Payne
22472 4th Avenue,Louisville,"2,846",0.7,"$450,558.99 ","$441,637.93 ",11/2/2020,Kaitlynn Oconnor
61147 Maiden Lane,Lexington,"1,043",26.5,"$1,969,044.40 ","$1,831,605.10 ",12/29/2020,Evelyn Everett
38244 Orchard Street,Erlanger,"2,667",0.3,"$409,577.51 ","$332,781.73 ",9/20/2020,Hazel Richardson
57048 Brook Lane,Lexington,"2,293",0.7,"$285,252.99 ","$254,930.59 ",11/21/2020,Judith Moreno
86311 Valley View Drive,Louisville,"1,258",0.9,"$251,088.04 ","$230,398.39 ",6/7/2020,Kaitlynn Oconnor
79954 Country Lane,Richmond,"2,527",0.7,"$407,652.01 ","$348,909.35 ",12/7/2020,Hazel Richardson
10388 Fieldstone Drive,Jeffersontown,"2,386",0.9,"$380,467.91 ","$361,748.89 ",4/25/2020,Trevon Lutz
20747 Creekside Drive,Richmond,"3,352",0.4,"$445,253.97 ","$406,873.07 ",1/8/2020,Kaitlynn Oconnor
45852 3rd Street West,Frankfort,"2,495",0.8,"$380,111.59 ","$364,641.05 ",5/30/2020,Kaitlynn Oconnor
98890 Madison Court,Erlanger,"1,510",0.8,"$268,832.60 ","$261,520.35 ",6/20/2020,Trevon Lutz
72112 High Street,Florence,"2,783",0.9,"$455,360.67 ","$368,705.54 ",2/25/2020,Deven Payne
50745 Windsor Court,Louisville,"2,009",1,"$306,691.59 ","$297,797.53 ",10/29/2020,Hazel Richardson
18140 4th Street,Florence,"1,921",0.5,"$233,543.20 ","$210,329.00 ",4/12/2020,Deven Payne
78067 8th Street South,Louisville,"2,543",0.3,"$396,236.05 ","$335,493.06 ",8/5/2020,Hazel Richardson
70678 Prospect Avenue,Florence,"1,589",0.6,"$210,536.46 ","$190,767.09 ",2/5/2020,Trevon Lutz
61048 1st Avenue,Frankfort,"2,276",0.6,"$317,699.23 ","$300,607.01 ",5/2/2020,Deven Payne
60274 Holly Drive,Louisville,"1,646",0.8,"$279,485.55 ","$235,857.86 ",6/14/2020,Deven Payne
53487 Hillcrest Drive,Louisville,"1,966",3.3,"$513,529.29 ","$509,215.65 ",2/26/2020,Payton Evans
11363 Bridle Lane,Richmond,"1,256",0.6,"$210,575.58 ","$200,973.33 ",3/21/2020,Trevon Lutz
48856 Church Street North,Jeffersontown,"2,529",0.5,"$337,461.18 ","$310,329.30 ",7/27/2020,Trevon Lutz
44179 Cemetery Road,Louisville,"2,291",0.6,"$276,062.58 ","$229,932.52 ",6/26/2020,Priscilla Jackson
95929 Sunset Drive,Jeffersontown,"2,964",0.6,"$471,335.10 ","$469,826.83 ",7/11/2020,Payton Evans
16985 14th Street,Georgetown,"1,130",0.7,"$222,456.08 ","$195,271.95 ",6/19/2020,Timothy Case
17064 Hickory Street,Florence,"1,102",0.9,"$233,735.17 ","$221,954.92 ",3/25/2020,Timothy Case
88959 Wall Street,Jeffersontown,"2,824",0.4,"$445,828.00 ","$414,397.13 ",8/10/2020,Tristan Blevins
70374 Hamilton Road,Lexington,"5,834",0.5,"$644,451.40 ","$574,141.75 ",7/22/2020,Kaitlynn Oconnor
71634 East Avenue,Georgetown,"1,716",0.2,"$223,363.52 ","$201,429.22 ",10/30/2020,Trevon Lutz
60510 Augusta Drive,Jeffersontown,"1,467",0.5,"$173,046.67 ","$162,317.77 ",3/14/2020,Tristan Blevins
48756 Railroad Avenue,Lexington,"4,153",0.7,"$479,161.36 ","$402,783.04 ",3/28/2020,Trevon Lutz
87219 Devon Road,Erlanger,"1,654",1,"$324,757.83 ","$260,845.49 ",6/14/2020,Hazel Richardson
48837 Division Street,Louisville,"1,108",8.6,"$843,225.68 ","$794,740.20 ",1/3/2020,Timothy Case
21063 Dogwood Drive,Lexington,"1,613",0.6,"$254,904.55 ","$210,704.10 ",10/3/2020,Timothy Case
60537 Main Street,Louisville,"1,639",0.6,"$251,176.45 ","$217,543.92 ",7/19/2020,Hazel Richardson
98549 Woodland Road,Lexington,"1,907",0.7,"$253,741.65 ","$219,740.27 ",3/2/2020,Deven Payne
30160 Canterbury Drive,Louisville,"1,935",0.5,"$295,969.76 ","$252,166.24 ",10/27/2020,Kaitlynn Oconnor
57274 Pin Oak Drive,Erlanger,"2,966",0.5,"$402,191.17 ","$329,917.42 ",5/1/2020,Ivan Cordova
81355 Pine Street,Louisville,"2,459",0.5,"$316,996.84 ","$264,819.16 ",6/15/2020,Deven Payne
81288 College Street,St. Matthews,"5,097",24.9,"$2,399,134.99 ","$2,115,317.32 ",10/27/2020,Priscilla Jackson
13393 Magnolia Avenue,Frankfort,"1,083",0.2,"$128,644.63 ","$121,144.65 ",2/7/2020,Deven Payne
47896 Harrison Avenue,Florence,"9,213",0.6,"$1,190,175.44 ","$1,078,179.93 ",8/21/2020,Judith Moreno
27411 2nd Street West,Florence,"2,830",25.7,"$2,220,934.00 ","$1,916,221.86 ",4/4/2020,Eliana Baker
90631 Broadway,Florence,"1,938",0.3,"$229,691.88 ","$202,611.21 ",3/28/2020,Timothy Case
96977 Elm Avenue,Louisville,"4,549",1,"$581,397.92 ","$544,595.43 ",12/5/2020,Tristan Blevins
99971 Brookside Drive,Louisville,"1,955",0.3,"$239,657.17 ","$216,458.35 ",1/24/2020,Judith Moreno
32965 Bayberry Drive,Louisville,"2,781",0.6,"$415,711.19 ","$345,040.29 ",10/27/2020,Timothy Case
63095 Valley Road,Louisville,"5,479",0.6,"$829,267.99 ","$734,068.02 ",4/24/2020,Priscilla Jackson
77708 Lincoln Avenue,St. Matthews,"1,979",0.4,"$261,695.48 ","$228,303.14 ",6/26/2020,Timothy Case
65201 2nd Avenue,St. Matthews,"2,623",0.2,"$304,732.00 ","$270,602.02 ",6/7/2020,Deven Payne
40065 Laurel Lane,Florence,"1,362",0.3,"$199,406.74 ","$159,744.74 ",5/4/2020,Deven Payne
78133 Cedar Lane,Louisville,"2,336",0.7,"$362,868.32 ","$331,625.36 ",2/21/2020,Timothy Case
68711 Belmont Avenue,Jeffersontown,"1,145",0.6,"$215,921.19 ","$200,310.09 ",2/26/2020,Kaitlynn Oconnor
27487 3rd Street,Covington,"4,662",0.3,"$611,098.85 ","$593,926.97 ",11/9/2020,Judith Moreno
45412 Hawthorne Lane,Covington,"2,735",0.6,"$412,825.32 ","$390,367.62 ",3/10/2020,Tristan Blevins
44166 Colonial Drive,Louisville,"5,104",0.9,"$762,879.46 ","$629,528.13 ",1/25/2020,Tristan Blevins
40596 Madison Avenue,Louisville,"2,338",0.5,"$367,515.85 ","$347,559.74 ",7/13/2020,Deven Payne
68699 Depot Street,Georgetown,"2,790",0.7,"$475,351.03 ","$402,099.43 ",7/30/2020,Tristan Blevins
77727 Sherman Street,Covington,"2,703",0.6,"$302,235.93 ","$269,382.89 ",12/9/2020,Priscilla Jackson
31802 Route 70,Covington,"1,409",0.5,"$221,981.31 ","$204,355.99 ",3/19/2020,Payton Evans
66136 Cleveland Avenue,Jeffersontown,"6,535",12.5,"$1,522,708.79 ","$1,241,769.02 ",7/9/2020,Eliana Baker
77039 Route 44,Covington,"7,833",0.5,"$1,093,511.16 ","$901,381.25 ",3/23/2020,Ivan Cordova
42833 Aspen Drive,Louisville,"1,674",0.2,"$224,093.66 ","$223,645.47 ",7/19/2020,Deven Payne
82329 Cambridge Drive,Louisville,"3,874",0.7,"$459,459.88 ","$444,022.03 ",7/12/2020,Deven Payne
71415 James Street,Nicholasville,"1,906",0.1,"$252,924.95 ","$229,478.80 ",9/8/2020,Deven Payne
36627 13th Street,Richmond,"1,938",0.8,"$316,200.39 ","$303,141.31 ",3/24/2020,Tristan Blevins
77663 Carriage Drive,Georgetown,"1,753",0.9,"$298,600.33 ","$291,792.24 ",1/30/2020,Tristan Blevins
17831 West Street,Louisville,"1,129",0.4,"$191,586.74 ","$172,064.05 ",12/20/2020,Judith Moreno
56905 State Street,Florence,"2,049",0.2,"$259,958.26 ","$230,037.06 ",1/27/2020,Trevon Lutz
10932 Main Street East,St. Matthews,"2,918",0.6,"$482,972.92 ","$423,905.33 ",11/8/2020,Judith Moreno
76874 Magnolia Drive,Florence,"1,455",0.1,"$190,822.81 ","$162,123.06 ",2/18/2020,Evelyn Everett
70273 Magnolia Court,Jeffersontown,"2,044",0.4,"$331,100.56 ","$270,774.04 ",12/22/2020,Hazel Richardson
22974 Cross Street,Florence,"2,319",0.4,"$276,184.06 ","$228,514.69 ",2/25/2020,Kaitlynn Oconnor
20622 Prospect Street,Covington,"8,357",0.5,"$1,070,461.78 ","$923,915.56 ",10/6/2020,Tristan Blevins
73699 Meadow Lane,Louisville,"2,893",0.5,"$457,568.29 ","$387,377.31 ",7/22/2020,Deven Payne
65607 Orchard Avenue,Erlanger,"1,901",0.7,"$312,357.39 ","$283,589.28 ",7/31/2020,Priscilla Jackson
38994 Front Street,Erlanger,"2,993",14.5,"$1,575,643.55 ","$1,534,361.69 ",8/20/2020,Ivan Cordova
23798 Hudson Street,Louisville,"1,953",11.7,"$1,193,743.69 ","$1,049,897.58 ",6/13/2020,Ivan Cordova
82870 Orchard Lane,Louisville,"2,372",0.7,"$322,417.97 ","$266,800.87 ",12/18/2020,Deven Payne
49231 Washington Street,Louisville,"1,573",0.3,"$177,166.47 ","$156,012.79 ",3/21/2020,Kaitlynn Oconnor
62021 Meadow Street,Florence,"5,529",0.3,"$683,211.96 ","$640,716.17 ",10/7/2020,Kaitlynn Oconnor
40640 Edgewood Drive,Jeffersontown,"1,619",0.4,"$188,631.05 ","$179,652.21 ",7/26/2020,Hazel Richardson
11135 Eagle Road,Lexington,"2,388",0.2,"$322,249.74 ","$258,734.32 ",9/12/2020,Hazel Richardson
67042 Route 5,Covington,"2,418",0.8,"$361,016.73 ","$338,128.26 ",7/10/2020,Tristan Blevins
56373 5th Street,Frankfort,"1,392",0.9,"$220,041.11 ","$214,760.12 ",8/5/2020,Tristan Blevins
68236 Buckingham Drive,Frankfort,"1,691",0.8,"$223,519.67 ","$188,650.60 ",9/19/2020,Deven Payne
71383 Mulberry Lane,Lexington,"4,592",0.7,"$689,832.96 ","$584,288.52 ",2/11/2020,Tristan Blevins
75857 New Street,Jeffersontown,"2,816",0.4,"$359,337.43 ","$352,078.82 ",10/9/2020,Evelyn Everett
12316 Park Place,Richmond,"1,363",0.4,"$230,070.07 ","$226,112.87 ",10/24/2020,Hazel Richardson
84100 Westminster Drive,Florence,"2,889",0.9,"$341,691.44 ","$303,011.97 ",11/21/2020,Trevon Lutz
46162 Orange Street,Lexington,"1,075",1,"$193,402.18 ","$191,294.09 ",4/18/2020,Tristan Blevins
64573 Lilac Lane,Florence,"2,826",0.5,"$373,438.92 ","$318,954.18 ",11/29/2020,Trevon Lutz
13420 King Street,Frankfort,"2,113",0.8,"$348,037.19 ","$282,606.20 ",10/9/2020,Trevon Lutz
95579 Monroe Street,Louisville,"1,113",0.4,"$153,698.32 ","$133,041.26 ",4/5/2020,Tristan Blevins
27133 Fairview Avenue,Richmond,"2,059",0.7,"$324,923.97 ","$297,987.78 ",12/11/2020,Trevon Lutz
70597 2nd Street North,Louisville,"2,587",0.4,"$300,352.25 ","$270,347.06 ",2/6/2020,Trevon Lutz
31092 Route 2,Covington,"8,773",0.6,"$1,146,214.18 ","$1,029,185.71 ",8/21/2020,Judith Moreno
73719 South Street,Jeffersontown,"1,253",0.7,"$221,948.16 ","$208,542.49 ",6/23/2020,Eliana Baker
48703 Shady Lane,Jeffersontown,"7,878",0.4,"$884,419.06 ","$799,337.95 ",12/25/2020,Timothy Case
79630 Bridge Street,Jeffersontown,"1,668",0.3,"$269,879.61 ","$239,680.08 ",6/23/2020,Tristan Blevins
84425 Country Club Drive,Florence,"2,436",0.1,"$303,935.99 ","$272,387.43 ",10/12/2020,Priscilla Jackson
78060 Route 4,St. Matthews,"2,987",0.4,"$333,753.23 ","$327,311.79 ",4/15/2020,Tristan Blevins
15600 Madison Street,Covington,"2,176",0.3,"$267,665.03 ","$220,047.42 ",10/17/2020,Tristan Blevins
21280 Forest Street,Richmond,"1,433",0.4,"$208,085.07 ","$190,293.80 ",4/17/2020,Kaitlynn Oconnor
45769 Taylor Street,Florence,"1,913",0.4,"$312,056.49 ","$258,788.45 ",5/23/2020,Tristan Blevins
49182 Virginia Avenue,Florence,"2,400",0.4,"$355,440.64 ","$349,575.87 ",2/4/2020,Timothy Case
71486 Sheffield Drive,Louisville,"1,556",0.8,"$270,485.51 ","$245,032.82 ",3/15/2020,Judith Moreno
34307 9th Street West,Florence,"9,427",0.3,"$1,198,255.47 ","$1,065,608.59 ",7/4/2020,Priscilla Jackson
42947 3rd Avenue,Lexington,"1,276",0.4,"$189,481.19 ","$185,123.12 ",11/27/2020,Timothy Case
13946 North Avenue,Louisville,"2,657",0.3,"$322,727.15 ","$303,783.06 ",10/13/2020,Timothy Case
89626 Elm Street,Frankfort,"1,418",0.4,"$213,495.75 ","$204,742.43 ",2/7/2020,Kaitlynn Oconnor
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
